EventID,EventRecordID,Execution_ProcessID,Computer,ProcessId,Initiated,SourceIsIpv6,SourceIp,DestinationPortName
3,3962,0.0,LAPTOP-ROPR18AK,4.0,False,False,192.168.1.255,netbios-dgm
3,1075,5520.0,LAPTOP-ROPR18AK,4.0,True,False,169.254.77.2,netbios-dgm
3,1473,5520.0,LAPTOP-ROPR18AK,4.0,False,False,169.254.255.255,netbios-dgm
3,2335,5520.0,LAPTOP-ROPR18AK,4.0,False,False,169.254.255.255,netbios-dgm
23,107424763,0.0,win-dc-128.attackrange.local,5748.0,0,0,0,0
3,2805,5520.0,LAPTOP-ROPR18AK,4.0,False,False,169.254.255.255,netbios-dgm
3,1195,0.0,LAPTOP-ROPR18AK,4.0,True,False,169.254.9.4,netbios-ns
3,2027,5520.0,LAPTOP-ROPR18AK,4.0,True,False,169.254.219.4,netbios-dgm
3,4182,5520.0,LAPTOP-ROPR18AK,4.0,True,False,192.168.156.105,netbios-ns
3,1127,0.0,LAPTOP-ROPR18AK,4.0,True,False,169.254.97.182,netbios-dgm
3,2328,5520.0,LAPTOP-ROPR18AK,4.0,True,False,169.254.157.2,netbios-dgm
3,2278,5520.0,LAPTOP-ROPR18AK,4.0,True,False,192.168.1.21,netbios-ns
3,4891,0.0,LAPTOP-ROPR18AK,4.0,False,False,192.168.76.255,netbios-dgm
3,2092,5520.0,LAPTOP-ROPR18AK,4.0,True,False,169.254.138.2,netbios-dgm
3,4435,0.0,LAPTOP-ROPR18AK,4.0,False,False,169.254.255.255,netbios-ns
3,1184,5520.0,LAPTOP-ROPR18AK,4.0,False,False,169.254.255.255,netbios-ns
3,3444,5520.0,LAPTOP-ROPR18AK,4.0,False,False,169.254.255.255,netbios-dgm
3,1790,0.0,LAPTOP-ROPR18AK,4.0,True,False,169.254.80.102,netbios-ns
3,16130,2952.0,WIN-J23NIGGP1Q6.sysmon_set.local,4.0,False,True,fe80:0:0:0:e870:5d9:16ed:6004,microsoft-ds
3,3526,5520.0,LAPTOP-ROPR18AK,4.0,True,False,192.168.1.5,netbios-ns
3,2897,0.0,LAPTOP-ROPR18AK,4.0,True,False,169.254.219.4,netbios-dgm
3,4314,0.0,LAPTOP-ROPR18AK,4.0,True,False,192.168.156.105,netbios-dgm
5,3065,5520.0,LAPTOP-ROPR18AK,12624.0,0,0,0,0
3,2484,0.0,LAPTOP-ROPR18AK,4.0,True,False,192.168.179.2,netbios-ns
5,2720,5520.0,LAPTOP-ROPR18AK,21012.0,0,0,0,0
3,1496,5520.0,LAPTOP-ROPR18AK,4.0,True,False,169.254.3.2,netbios-ns
3,2864,5520.0,LAPTOP-ROPR18AK,4.0,True,False,192.168.156.105,netbios-dgm
3,3478,5520.0,LAPTOP-ROPR18AK,4.0,False,False,192.168.1.255,netbios-dgm
3,5251,5676.0,LAPTOP-ROPR18AK,4.0,True,False,192.168.1.5,netbios-ns
3,4026,5520.0,LAPTOP-ROPR18AK,4.0,False,False,192.168.128.255,netbios-ns
3,5272,5676.0,LAPTOP-ROPR18AK,4.0,True,False,192.168.1.5,netbios-ns
3,1122,0.0,LAPTOP-ROPR18AK,4.0,False,False,192.168.1.255,netbios-dgm
3,4115,0.0,LAPTOP-ROPR18AK,4.0,False,False,192.168.128.255,netbios-dgm
3,4029,5520.0,LAPTOP-ROPR18AK,4.0,True,False,192.168.156.105,netbios-ns
5,4974,5676.0,LAPTOP-ROPR18AK,11312.0,0,0,0,0
5,3897,5520.0,LAPTOP-ROPR18AK,14240.0,0,0,0,0
5,4551,5520.0,LAPTOP-ROPR18AK,23308.0,0,0,0,0
3,3645,0.0,LAPTOP-ROPR18AK,4.0,False,False,169.254.255.255,netbios-dgm
5,2578,0.0,LAPTOP-ROPR18AK,984.0,0,0,0,0
3,3668,5520.0,LAPTOP-ROPR18AK,4.0,True,False,192.168.128.102,netbios-dgm
3,2275,0.0,LAPTOP-ROPR18AK,4.0,True,False,192.168.1.21,netbios-ns
5,5363,5676.0,LAPTOP-ROPR18AK,20008.0,0,0,0,0
3,3943,0.0,LAPTOP-ROPR18AK,4.0,True,False,169.254.157.2,netbios-dgm
3,4012,0.0,LAPTOP-ROPR18AK,4.0,False,False,169.254.255.255,netbios-ns
3,2683,5520.0,LAPTOP-ROPR18AK,4.0,True,False,192.168.76.2,netbios-ns
5,4650,0.0,LAPTOP-ROPR18AK,10292.0,0,0,0,0
3,2105,5520.0,LAPTOP-ROPR18AK,4.0,False,False,169.254.255.255,netbios-dgm
3,2851,5520.0,LAPTOP-ROPR18AK,4.0,False,False,169.254.255.255,netbios-dgm
1,19553,2128.0,WIN-J23NIGGP1Q6.sysmon_set.local,5836.0,0,0,0,0
3,2433,0.0,LAPTOP-ROPR18AK,4.0,True,False,169.254.80.102,netbios-dgm
3,5309,5676.0,LAPTOP-ROPR18AK,4.0,False,False,169.254.255.255,netbios-dgm
3,5131,5676.0,LAPTOP-ROPR18AK,4.0,False,False,169.254.255.255,netbios-dgm
3,3166,0.0,LAPTOP-ROPR18AK,4.0,False,False,169.254.255.255,netbios-dgm
3,5131,5676.0,LAPTOP-ROPR18AK,4.0,False,False,169.254.255.255,netbios-dgm
3,3216,5520.0,LAPTOP-ROPR18AK,4.0,False,False,192.168.98.255,netbios-dgm
5,5364,0.0,LAPTOP-ROPR18AK,21476.0,0,0,0,0
3,4892,5676.0,LAPTOP-ROPR18AK,4.0,True,False,169.254.142.2,netbios-dgm
3,3549,0.0,LAPTOP-ROPR18AK,4.0,False,False,192.168.156.255,netbios-ns
3,3724,5520.0,LAPTOP-ROPR18AK,4.0,False,False,169.254.255.255,netbios-ns
3,1799,0.0,LAPTOP-ROPR18AK,4.0,True,False,169.254.9.4,netbios-ns
3,2474,5520.0,LAPTOP-ROPR18AK,4.0,True,False,169.254.45.171,netbios-ns
3,1637,5520.0,LAPTOP-ROPR18AK,4.0,True,False,169.254.80.102,netbios-ns
3,3966,0.0,LAPTOP-ROPR18AK,4.0,False,False,192.168.179.255,netbios-dgm
3,5220,0.0,LAPTOP-ROPR18AK,4.0,False,False,192.168.229.255,netbios-dgm
3,5114,5676.0,LAPTOP-ROPR18AK,4.0,True,False,169.254.50.19,netbios-dgm
22,9968,0.0,WINDOWS10EVAL.stefania.local,620.0,0,0,0,0
3,1942,0.0,LAPTOP-ROPR18AK,4.0,False,False,169.254.255.255,netbios-dgm
5,962,0.0,LAPTOP-ROPR18AK,18844.0,0,0,0,0
5,4268,5520.0,LAPTOP-ROPR18AK,2900.0,0,0,0,0
3,2200,5520.0,LAPTOP-ROPR18AK,4.0,True,False,169.254.142.2,netbios-dgm
3,1725,5520.0,LAPTOP-ROPR18AK,4.0,True,False,169.254.77.2,netbios-dgm
5,1256,5520.0,LAPTOP-ROPR18AK,2716.0,0,0,0,0
3,979,0.0,LAPTOP-ROPR18AK,4.0,False,False,169.254.255.255,netbios-ns
3,4766,0.0,LAPTOP-ROPR18AK,4.0,True,False,169.254.77.2,netbios-dgm
3,4624,5676.0,LAPTOP-ROPR18AK,4.0,True,False,192.168.229.2,netbios-ns
3,1228,5520.0,LAPTOP-ROPR18AK,4.0,True,False,192.168.1.21,netbios-ns
3,4930,5676.0,LAPTOP-ROPR18AK,4.0,False,False,169.254.255.255,netbios-ns
7,107425003,0.0,win-dc-128.attackrange.local,5592.0,0,0,0,0
3,4633,0.0,LAPTOP-ROPR18AK,4.0,True,False,192.168.1.5,netbios-ns
3,14841,3064.0,WIN-J23NIGGP1Q6.sysmon_set.local,5116.0,True,True,0:0:0:0:0:0:0:1,ldap
3,2559,5520.0,LAPTOP-ROPR18AK,4.0,False,False,169.254.255.255,netbios-ns
3,3502,5520.0,LAPTOP-ROPR18AK,4.0,False,False,169.254.255.255,netbios-dgm
3,2673,0.0,LAPTOP-ROPR18AK,4.0,True,False,169.254.250.108,netbios-ns
3,2100,5520.0,LAPTOP-ROPR18AK,4.0,True,False,192.168.76.2,netbios-dgm
5,2943,5520.0,LAPTOP-ROPR18AK,21480.0,0,0,0,0
5,4912,5676.0,LAPTOP-ROPR18AK,15208.0,0,0,0,0
3,4530,0.0,LAPTOP-ROPR18AK,4.0,False,False,169.254.255.255,netbios-ns
3,16529,2952.0,WIN-J23NIGGP1Q6.sysmon_set.local,668.0,False,False,192.168.1.4,ldap
3,2906,0.0,LAPTOP-ROPR18AK,4.0,False,False,192.168.214.255,netbios-dgm
3,4957,0.0,LAPTOP-ROPR18AK,4.0,False,False,192.168.128.255,netbios-dgm
3,1052,5520.0,LAPTOP-ROPR18AK,4.0,False,False,192.168.16.255,netbios-dgm
