UtcTime,User,Computer,EventID,Image,CommandLine,SourceIp,DestinationIp,SourcePort,DestinationPortName
2025-11-20 03:15:00,jdoe,WKSTN-102,4624,-,-,192.168.1.15,-,-,-
2025-11-20 09:00:55,jdoe,WKSTN-101,3,C:\Program Files\Google\Chrome\Application\chrome.exe,-,192.168.1.40,99.52.1.1,25474,443
2025-11-20 09:01:05,asmith,WKSTN-102,4624,-,-,-,-,-,-
2025-11-20 09:01:56,asmith,WKSTN-102,4624,-,-,-,-,-,-
2025-11-20 09:03:00,asmith,WKSTN-102,1,C:\Windows\explorer.exe,-,-,-,-,-
2025-11-20 09:03:16,jdoe,WKSTN-101,1,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,-,-,-,-,-
2025-11-20 09:03:18,jdoe,WKSTN-101,3,C:\Program Files\Google\Chrome\Application\chrome.exe,-,192.168.1.50,43.141.1.1,12401,443
2025-11-20 09:03:22,bwayne,WKSTN-103,3,C:\Program Files\Google\Chrome\Application\chrome.exe,-,192.168.1.14,41.243.1.1,25526,443
2025-11-20 09:03:25,jdoe,WKSTN-101,1,C:\Program Files\Google\Chrome\Application\chrome.exe,-,-,-,-,-
2025-11-20 09:03:31,bwayne,WKSTN-103,1,C:\Program Files\Google\Chrome\Application\chrome.exe,-,-,-,-,-
2025-11-20 09:04:04,asmith,WKSTN-102,4624,-,-,-,-,-,-
2025-11-20 09:04:20,bwayne,WKSTN-103,4624,-,-,-,-,-,-
2025-11-20 09:04:57,bwayne,WKSTN-103,1,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,-,-,-,-,-
2025-11-20 09:05:00,jdoe,SRV-DB01,4624,-,-,192.168.1.15,-,-,-
2025-11-20 09:05:39,bwayne,WKSTN-103,4624,-,-,-,-,-,-
2025-11-20 09:06:29,bwayne,WKSTN-103,4624,-,-,-,-,-,-
2025-11-20 09:07:00,jdoe,WKSTN-102,10,C:\Users\jdoe\Downloads\mimikatz.exe,mimikatz.exe privilege::debug sekurlsa::logonpasswords,-,-,-,-
2025-11-20 09:07:15,jdoe,WKSTN-102,10,C:\Windows\System32\taskmgr.exe,taskmgr.exe dump lsass.exe,-,-,-,-
2025-11-20 09:07:56,asmith,WKSTN-102,3,C:\Program Files\Google\Chrome\Application\chrome.exe,-,192.168.1.38,54.200.1.1,23448,443
2025-11-20 09:08:46,jdoe,WKSTN-101,4624,-,-,-,-,-,-
2025-11-20 09:08:54,asmith,WKSTN-102,1,C:\Program Files\Google\Chrome\Application\chrome.exe,-,-,-,-,-
2025-11-20 09:09:46,asmith,WKSTN-102,1,C:\Program Files\Google\Chrome\Application\chrome.exe,-,-,-,-,-
2025-11-20 09:11:01,asmith,WKSTN-102,4624,-,-,-,-,-,-
2025-11-20 09:12:07,ckent,WKSTN-104,4624,-,-,-,-,-,-
2025-11-20 09:12:10,ckent,WKSTN-104,1,C:\Windows\System32\svchost.exe,-,-,-,-,-
2025-11-20 09:12:15,jdoe,WKSTN-102,17,C:\Windows\System32\services.exe,\psexesvc,-,-,-,-
2025-11-20 09:12:21,bwayne,WKSTN-103,1,C:\Windows\explorer.exe,-,-,-,-,-
2025-11-20 09:12:40,jdoe,WKSTN-101,1,C:\Windows\System32\svchost.exe,-,-,-,-,-
2025-11-20 09:13:03,ckent,WKSTN-104,3,C:\Program Files\Google\Chrome\Application\chrome.exe,-,192.168.1.47,109.79.1.1,56139,443
2025-11-20 09:13:49,ckent,WKSTN-104,3,C:\Program Files\Google\Chrome\Application\chrome.exe,-,192.168.1.40,104.118.1.1,41782,443
2025-11-20 09:14:15,jdoe,WKSTN-102,3,C:\Windows\System32\cmd.exe,-,192.168.1.15,192.168.1.100,49552,445
2025-11-20 09:14:28,ckent,WKSTN-104,3,C:\Program Files\Google\Chrome\Application\chrome.exe,-,192.168.1.38,23.130.1.1,16189,443
2025-11-20 09:14:35,ckent,WKSTN-104,3,C:\Program Files\Google\Chrome\Application\chrome.exe,-,192.168.1.45,54.138.1.1,29420,443
2025-11-20 09:14:50,ckent,WKSTN-104,1,C:\Windows\System32\svchost.exe,-,-,-,-,-
2025-11-20 09:14:54,bwayne,WKSTN-103,4624,-,-,-,-,-,-
2025-11-20 09:15:15,jdoe,WKSTN-102,8,C:\Users\jdoe\payload.exe,-,-,-,-,-
2025-11-20 09:16:11,asmith,WKSTN-102,3,C:\Program Files\Google\Chrome\Application\chrome.exe,-,192.168.1.40,75.220.1.1,58463,443
